,id,title,adult,popularity,release_date,vote_average,vote_count
389,850049,It's Happening Right Here,False,10.543,2022-11-03,0.0,0
390,707103,Emily,False,10.447,2022-10-14,6.0,7
391,858485,Kantara,False,10.415,2022-09-30,8.3,12
392,1014890,Louis Armstrong's Black & Blues,False,10.38,2022-10-27,7.0,3
393,913792,Meet Me in the Bathroom,False,10.255,2022-11-04,0.0,0
394,913820,Utama,False,10.219,2022-05-11,7.2,9
395,600479,A Mermaid in Paris,False,9.94,2020-03-11,6.5,163
396,913612,Isekai Quartet the Movie: Another World,False,9.914,2022-06-10,9.0,4
397,913243,White Dog,False,9.894,2022-11-02,0.0,0
398,860854,Bromates,False,9.837,2022-10-07,2.0,2
399,1032391,"My Decision, by Andrés Iniesta",False,9.718,2022-11-01,7.5,2
400,783723,Thank God,False,9.654,2022-10-25,8.8,3
401,1004879,BabyDolls,False,9.621,2022-11-01,0.0,0
402,426242,Where Is Anne Frank,False,9.592,2021-12-08,6.4,18
403,1018494,Operation Seawolf,False,9.558,2022-10-07,6.2,10
404,1018658,21,False,9.555,2022-11-01,0.0,0
405,644124,Dampyr,False,9.489,2022-10-28,5.4,5
406,18987,The Hunchback of Notre Dame,False,9.481,1923-09-06,6.6,88
407,559974,Shock Wave 2,False,9.389,2020-12-24,7.2,101
408,927223,Hoysala,False,9.336,2022-11-01,0.0,0
409,866254,The Last Victim,False,9.263,2022-05-13,4.9,7
410,875279,One More Shot,False,9.215,2022-10-13,5.7,3
411,886365,The Beanie,False,9.193,2022-11-01,0.0,0
412,812025,The Silent Twins,False,9.167,2022-09-16,7.1,8
413,852427,Kompromat,False,9.158,2022-09-07,6.5,61
414,1037635,Awful Silence,False,9.028,2022-11-01,0.0,0
415,807862,Peter von Kant,False,8.84,2022-07-06,6.1,26
416,1039268,Morgan y los Super Bichillos,False,8.819,2022-10-06,0.0,0
417,898770,The Wrath Within,False,8.816,2022-10-31,0.0,0
